job_id,job_title,job_description,requirements,benefits,company_name,company_profile,industry,employment_type,location,salary_range,required_experience_years,education_level,department,posting_date,application_deadline,contact_email,company_website,has_logo,num_open_positions,job_function,telecommuting,fraud_reason,text_length,is_fake
11,Customer Support Specialist,We are looking for knowledge required preferred experience opportunity growth collaboration team growth experience team dynamic collaboration innovation strategy required opportunity preferred knowledge required team skills growth opportunity skills team responsibilities strategy innovation support strategy innovation responsibilities dynamic development preferred innovation development knowledge support,Candidates should have knowledge skills fast-paced collaboration skills experience dynamic knowledge dynamic growth responsibilities knowledge required development experience support innovation opportunity growth collaboration fast-paced preferred team collaboration skills,We offer innovation experience strategy team required innovation collaboration innovation knowledge development collaboration experience required opportunity strategy,Company_742,Our company team innovation development fast-paced innovation collaboration team collaboration knowledge required fast-paced required opportunity team development dynamic preferred preferred growth fast-paced development growth responsibilities dynamic opportunity growth team opportunity support strategy,Retail,Internship,Remote,$80k-$100k,10,Master,Marketing,2023-08-14,2024-02-04,hr241@company.com,https://www.company.com,1,5,Management,0,,89,0
12,Graphic Designer,We are looking for team knowledge strategy strategy skills skills preferred knowledge team team collaboration strategy skills strategy dynamic required support growth skills strategy,Candidates should have development required team opportunity skills fast-paced strategy strategy opportunity preferred preferred knowledge collaboration innovation required skills required team required development collaboration knowledge responsibilities growth required,We offer team growth preferred knowledge collaboration growth team knowledge collaboration required growth team innovation preferred experience,,We are global preferred knowledge opportunity dynamic required support dynamic fast-paced growth growth,IT,Contract,"New York, USA",$40k-$60k,10,Master,Design,2023-03-09,2024-11-01,job193@gmail.com,,0,3,Analysis,0,No salary info,69,1
13,HR Coordinator,We are looking for skills innovation preferred fast-paced strategy knowledge strategy fast-paced fast-paced knowledge support dynamic preferred strategy strategy knowledge collaboration innovation opportunity dynamic growth responsibilities skills support preferred development development knowledge team opportunity responsibilities strategy growth innovation team fast-paced strategy preferred experience innovation,Candidates should have skills collaboration preferred fast-paced collaboration team preferred fast-paced experience required development required growth growth skills knowledge support growth support strategy experience team experience responsibilities dynamic,We offer growth innovation development knowledge fast-paced knowledge development skills fast-paced innovation strategy team development support experience,Company_1056,Our company fast-paced growth knowledge innovation experience preferred fast-paced innovation opportunity team preferred team experience collaboration support skills collaboration preferred responsibilities experience preferred team preferred fast-paced development required growth skills preferred required,Marketing,Part-time,Remote,Not Disclosed,10,Bachelor,Marketing,2023-02-02,2024-08-22,hr19@company.com,https://www.company.com,1,4,Development,0,,89,0
14,Product Manager,We are looking for knowledge collaboration support responsibilities skills dynamic knowledge preferred skills required responsibilities development preferred innovation collaboration strategy collaboration required opportunity support support preferred responsibilities team innovation team innovation opportunity knowledge required development team required knowledge knowledge strategy innovation opportunity strategy preferred,Candidates should have strategy skills preferred innovation responsibilities skills team collaboration preferred opportunity experience growth strategy skills growth team fast-paced preferred preferred collaboration skills growth strategy preferred preferred,We offer strategy team growth preferred collaboration required responsibilities fast-paced development experience opportunity support collaboration development responsibilities,Company_534,Our company strategy dynamic knowledge support dynamic development growth team strategy opportunity strategy team required preferred team knowledge knowledge opportunity opportunity preferred fast-paced development dynamic growth fast-paced support experience preferred preferred strategy,Retail,Part-time,"Toronto, Canada",$40k-$60k,1,Master,HR,2023-09-03,2024-09-26,hr211@company.com,https://www.company.com,1,10,Development,0,,89,0
15,Data Analyst,We are looking for strategy strategy preferred growth opportunity growth innovation skills development growth knowledge opportunity opportunity required fast-paced preferred knowledge team responsibilities dynamic,Candidates should have responsibilities growth knowledge team opportunity growth opportunity required skills experience team skills responsibilities dynamic innovation experience support knowledge knowledge support fast-paced collaboration knowledge strategy team,We offer skills opportunity strategy innovation support strategy dynamic required growth required required preferred collaboration growth preferred,,We are global development required fast-paced strategy development responsibilities strategy fast-paced growth development,IT,Contract,Remote,Not Disclosed,3,Bachelor,Sales,2023-10-23,2024-06-09,job98@gmail.com,,0,3,Support,1,Suspicious email,69,1
16,HR Coordinator,We are looking for experience team collaboration strategy fast-paced dynamic preferred skills skills knowledge support support knowledge experience development innovation growth responsibilities preferred collaboration,Candidates should have preferred skills collaboration skills dynamic preferred knowledge team collaboration strategy responsibilities development growth development collaboration preferred required preferred growth dynamic collaboration skills skills skills growth,We offer required support strategy growth growth required required opportunity collaboration knowledge required support knowledge support experience,,We are global preferred required development innovation knowledge experience support responsibilities fast-paced skills,Retail,Temporary,"London, UK",Not Disclosed,2,Bachelor,Engineering,2023-10-21,2024-12-24,job57@gmail.com,,0,4,Development,1,Suspicious email,69,1
17,Marketing Manager,We are looking for innovation dynamic innovation support skills growth dynamic required support collaboration required opportunity strategy required preferred responsibilities support dynamic fast-paced responsibilities,Candidates should have knowledge fast-paced knowledge knowledge dynamic support required support preferred responsibilities knowledge development collaboration collaboration preferred growth knowledge skills knowledge team preferred strategy responsibilities support dynamic,We offer dynamic responsibilities responsibilities growth development fast-paced fast-paced skills fast-paced fast-paced skills development innovation required support,,We are global development growth experience opportunity innovation support support dynamic knowledge required,Healthcare,Full-time,"New York, USA",$60k-$80k,8,High School,Marketing,2023-08-02,2024-03-31,job479@gmail.com,,0,1,Support,1,Unverified company,69,1
18,Software Engineer,We are looking for experience knowledge development required knowledge strategy support growth strategy responsibilities dynamic development required opportunity strategy responsibilities opportunity experience required knowledge,Candidates should have dynamic opportunity collaboration innovation required team collaboration development opportunity growth support required fast-paced experience responsibilities collaboration fast-paced strategy responsibilities required knowledge experience responsibilities preferred fast-paced,We offer skills development strategy knowledge opportunity collaboration knowledge development knowledge preferred fast-paced fast-paced growth support growth,,We are global strategy preferred innovation support dynamic fast-paced team strategy preferred team,Retail,Full-time,"New York, USA",$60k-$80k,9,Bachelor,Marketing,2023-06-17,2024-09-23,job227@gmail.com,,0,2,Analysis,1,Unverified company,69,1
19,Software Engineer,We are looking for strategy growth innovation strategy skills strategy knowledge experience collaboration responsibilities experience dynamic team skills innovation preferred team skills team support,Candidates should have skills knowledge innovation opportunity growth innovation preferred collaboration strategy collaboration collaboration team growth preferred development opportunity collaboration growth fast-paced experience experience knowledge strategy innovation collaboration,We offer fast-paced fast-paced strategy preferred growth responsibilities dynamic development skills innovation experience fast-paced dynamic team development,,We are global skills strategy skills fast-paced skills collaboration strategy fast-paced dynamic skills,Finance,Internship,"Berlin, Germany",$60k-$80k,9,Master,Design,2023-11-03,2024-12-10,job420@gmail.com,,0,6,Analysis,1,Unverified company,69,1
20,Business Analyst,We are looking for knowledge responsibilities skills opportunity innovation support skills preferred collaboration required innovation innovation growth knowledge collaboration opportunity support fast-paced fast-paced knowledge growth strategy skills innovation innovation growth collaboration fast-paced responsibilities dynamic required team strategy preferred team dynamic skills responsibilities collaboration skills,Candidates should have team dynamic dynamic support dynamic required knowledge experience dynamic dynamic development support fast-paced dynamic collaboration fast-paced required knowledge collaboration strategy preferred knowledge responsibilities preferred support,We offer strategy development support required dynamic preferred required innovation skills fast-paced growth experience responsibilities innovation knowledge,Company_313,Our company dynamic required fast-paced collaboration fast-paced support required responsibilities support support strategy opportunity preferred opportunity growth support opportunity skills skills team skills experience innovation growth fast-paced team growth experience dynamic strategy,Healthcare,Full-time,"Toronto, Canada",Not Disclosed,10,PhD,Engineering,2023-01-04,2024-09-29,hr283@company.com,https://www.company.com,1,1,Development,1,,89,0
21,Software Engineer,We are looking for innovation opportunity development development growth fast-paced dynamic responsibilities preferred responsibilities collaboration team preferred collaboration strategy fast-paced fast-paced knowledge team skills,Candidates should have team collaboration collaboration collaboration support skills experience opportunity team support innovation required development skills fast-paced dynamic support responsibilities skills team responsibilities skills opportunity required experience,We offer dynamic growth collaboration team knowledge opportunity fast-paced collaboration required collaboration growth team preferred skills development,,We are global innovation fast-paced team required collaboration required experience responsibilities strategy support,Finance,Contract,"Toronto, Canada",Not Disclosed,6,Bachelor,Design,2023-12-05,2024-07-13,job44@gmail.com,,0,10,Management,0,No salary info,69,1
22,Data Analyst,We are looking for responsibilities growth collaboration growth collaboration required preferred development team experience knowledge strategy preferred responsibilities development growth team opportunity innovation strategy innovation development experience team preferred team required collaboration experience knowledge innovation collaboration team fast-paced opportunity collaboration opportunity growth responsibilities knowledge,Candidates should have responsibilities support growth team opportunity innovation responsibilities innovation knowledge support team preferred responsibilities fast-paced support dynamic strategy development growth knowledge experience collaboration required collaboration required,We offer strategy required innovation growth knowledge required dynamic support required opportunity collaboration required knowledge support fast-paced,Company_668,Our company collaboration responsibilities collaboration preferred development dynamic opportunity experience strategy dynamic strategy knowledge team innovation support growth knowledge fast-paced responsibilities growth innovation collaboration team strategy support collaboration innovation skills preferred team,IT,Part-time,"Berlin, Germany",$60k-$80k,10,High School,Design,2023-11-27,2024-12-12,hr332@company.com,https://www.company.com,1,6,Support,0,,89,0
23,Data Analyst,We are looking for responsibilities fast-paced fast-paced strategy preferred collaboration strategy growth preferred experience support development knowledge innovation team development growth preferred knowledge required strategy dynamic support preferred support development strategy strategy required team knowledge skills development experience required development opportunity fast-paced opportunity opportunity,Candidates should have required innovation strategy fast-paced collaboration opportunity opportunity innovation collaboration experience dynamic strategy innovation collaboration experience dynamic dynamic responsibilities team development opportunity preferred required dynamic strategy,We offer development responsibilities support required collaboration collaboration development preferred preferred strategy opportunity knowledge team growth required,Company_242,Our company fast-paced knowledge development opportunity preferred growth collaboration innovation growth collaboration innovation opportunity support opportunity opportunity support knowledge growth opportunity required strategy skills preferred experience support growth dynamic collaboration support innovation,Marketing,Temporary,Remote,Not Disclosed,7,Bachelor,Engineering,2023-10-17,2024-01-16,hr408@company.com,https://www.company.com,0,5,Development,1,,89,0
24,Graphic Designer,We are looking for knowledge opportunity strategy support development development responsibilities preferred skills strategy dynamic innovation development fast-paced knowledge skills strategy responsibilities preferred team strategy development fast-paced dynamic preferred innovation opportunity growth dynamic dynamic skills preferred responsibilities opportunity required knowledge knowledge responsibilities development growth,Candidates should have innovation skills responsibilities growth growth fast-paced growth required fast-paced collaboration support growth responsibilities innovation collaboration strategy team team collaboration responsibilities preferred strategy support required experience,We offer team strategy preferred team collaboration dynamic innovation dynamic support responsibilities required knowledge required growth support,Company_704,Our company skills skills development strategy experience development opportunity strategy strategy experience innovation dynamic growth knowledge opportunity responsibilities team preferred responsibilities team preferred opportunity skills collaboration knowledge fast-paced innovation team development experience,Finance,Temporary,"New York, USA",$60k-$80k,9,Bachelor,Design,2023-12-15,2024-08-15,hr5@company.com,https://www.company.com,0,6,Development,1,,89,0
25,HR Coordinator,We are looking for team fast-paced collaboration team development development required preferred knowledge growth collaboration growth growth team experience opportunity strategy preferred dynamic growth innovation strategy dynamic team development growth development collaboration preferred innovation required growth fast-paced responsibilities team fast-paced knowledge experience knowledge dynamic,Candidates should have dynamic collaboration knowledge skills fast-paced support collaboration development fast-paced support team experience preferred required growth collaboration innovation preferred opportunity support team experience team experience responsibilities,We offer dynamic skills skills collaboration knowledge innovation innovation collaboration team growth responsibilities team knowledge team dynamic,Company_319,Our company required collaboration team knowledge innovation fast-paced skills fast-paced team innovation development strategy skills knowledge opportunity development experience growth experience opportunity support preferred responsibilities opportunity preferred growth responsibilities development experience required,Education,Contract,"Toronto, Canada",$40k-$60k,4,High School,HR,2023-08-22,2024-09-18,hr185@company.com,https://www.company.com,0,8,Analysis,1,,89,0
26,Customer Support Specialist,We are looking for development development fast-paced experience skills experience fast-paced skills support preferred collaboration growth opportunity skills innovation fast-paced required fast-paced innovation required responsibilities team preferred development skills opportunity fast-paced skills collaboration team strategy knowledge knowledge required team strategy experience preferred dynamic knowledge,Candidates should have knowledge fast-paced strategy preferred support dynamic fast-paced growth experience innovation experience fast-paced preferred experience required experience collaboration knowledge development dynamic fast-paced innovation support skills growth,We offer responsibilities team skills fast-paced innovation preferred strategy team development growth collaboration team skills innovation growth,Company_485,Our company knowledge responsibilities required collaboration required required strategy responsibilities fast-paced team dynamic growth development growth development opportunity strategy strategy required innovation development preferred dynamic strategy knowledge strategy responsibilities development team opportunity,Marketing,Contract,"Toronto, Canada",$40k-$60k,3,Master,Marketing,2023-02-16,2024-12-30,hr128@company.com,https://www.company.com,1,7,Development,1,,89,0
27,Marketing Manager,We are looking for experience collaboration strategy fast-paced development strategy development growth development experience skills fast-paced growth dynamic collaboration preferred team responsibilities team experience,Candidates should have team dynamic strategy growth team required development skills strategy skills opportunity innovation collaboration support experience collaboration innovation opportunity preferred dynamic opportunity responsibilities responsibilities strategy growth,We offer skills fast-paced knowledge support innovation support skills team responsibilities collaboration growth innovation dynamic fast-paced experience,,We are global collaboration preferred support support preferred required collaboration responsibilities opportunity experience,Healthcare,Internship,"London, UK",$40k-$60k,4,High School,HR,2023-09-29,2024-07-02,job393@gmail.com,,0,10,Analysis,0,Unverified company,69,1
28,Sales Executive,We are looking for responsibilities skills fast-paced collaboration preferred opportunity opportunity fast-paced required preferred experience preferred growth dynamic support knowledge opportunity support skills team skills fast-paced fast-paced experience support experience required dynamic growth required opportunity required skills experience growth growth development preferred team preferred,Candidates should have collaboration development required knowledge required growth opportunity innovation support required opportunity preferred fast-paced opportunity collaboration knowledge knowledge growth opportunity experience collaboration skills opportunity required fast-paced,We offer development support growth required team fast-paced preferred required opportunity team required strategy experience responsibilities dynamic,Company_512,Our company team preferred responsibilities development experience skills collaboration strategy innovation opportunity innovation support collaboration preferred collaboration development support fast-paced opportunity strategy team skills knowledge experience required responsibilities development team required opportunity,Education,Part-time,"New York, USA",$40k-$60k,5,PhD,Engineering,2023-08-09,2024-11-30,hr85@company.com,https://www.company.com,1,3,Development,0,,89,0
29,Sales Executive,We are looking for dynamic innovation responsibilities knowledge knowledge fast-paced development skills collaboration support growth skills preferred experience innovation team knowledge support dynamic development,Candidates should have experience dynamic opportunity knowledge team support development knowledge collaboration support support responsibilities team collaboration opportunity preferred collaboration preferred opportunity strategy skills responsibilities strategy strategy responsibilities,We offer fast-paced responsibilities skills growth development team preferred innovation fast-paced skills collaboration innovation support fast-paced support,,We are global knowledge team collaboration skills growth development strategy opportunity opportunity dynamic,Finance,Part-time,"New York, USA",Not Disclosed,1,PhD,Marketing,2023-11-18,2024-03-16,job428@gmail.com,,0,10,Management,1,No salary info,69,1
30,Data Analyst,We are looking for collaboration collaboration required responsibilities strategy experience innovation development innovation growth growth development development development knowledge preferred innovation responsibilities collaboration support support skills opportunity responsibilities collaboration growth collaboration skills collaboration required fast-paced skills support responsibilities preferred experience required knowledge knowledge responsibilities,Candidates should have support development fast-paced growth knowledge strategy required responsibilities innovation team dynamic strategy dynamic innovation support preferred skills opportunity team knowledge collaboration growth experience opportunity dynamic,We offer dynamic skills fast-paced skills strategy skills preferred dynamic responsibilities preferred strategy collaboration development experience fast-paced,Company_763,Our company support strategy opportunity support preferred preferred opportunity responsibilities team knowledge experience collaboration skills opportunity dynamic fast-paced fast-paced dynamic responsibilities innovation experience experience support growth opportunity experience fast-paced responsibilities knowledge responsibilities,Education,Temporary,"Berlin, Germany",Not Disclosed,4,Bachelor,HR,2023-06-04,2024-12-12,hr267@company.com,https://www.company.com,1,10,Development,0,,89,0
31,Graphic Designer,We are looking for knowledge knowledge development support team required responsibilities required responsibilities responsibilities knowledge dynamic growth fast-paced skills collaboration required growth experience support,Candidates should have knowledge responsibilities innovation collaboration collaboration skills dynamic required fast-paced support preferred knowledge opportunity opportunity knowledge development support growth responsibilities opportunity required team fast-paced preferred fast-paced,We offer knowledge innovation required preferred responsibilities knowledge strategy development support skills team support dynamic development collaboration,,We are global knowledge innovation skills growth growth dynamic required innovation strategy growth,Healthcare,Part-time,"New York, USA",Not Disclosed,5,Bachelor,Sales,2023-11-21,2024-01-30,job3@gmail.com,,0,8,Management,0,Unverified company,69,1
32,HR Coordinator,We are looking for team growth innovation innovation collaboration innovation support collaboration experience skills dynamic preferred experience required dynamic experience experience fast-paced fast-paced preferred knowledge growth development collaboration knowledge opportunity team skills knowledge knowledge strategy required innovation growth required support preferred dynamic opportunity collaboration,Candidates should have experience fast-paced fast-paced growth dynamic experience opportunity development preferred skills collaboration responsibilities skills skills development experience skills development innovation strategy collaboration development responsibilities support growth,We offer dynamic experience knowledge innovation development responsibilities growth innovation development development knowledge development development support dynamic,Company_410,Our company responsibilities dynamic preferred innovation knowledge opportunity skills support dynamic support required fast-paced experience experience team development support growth team team development responsibilities fast-paced strategy knowledge responsibilities strategy skills development opportunity,IT,Contract,"Berlin, Germany",$80k-$100k,6,High School,Engineering,2023-01-24,2024-01-05,hr437@company.com,https://www.company.com,0,3,Management,1,,89,0
33,Content Writer,We are looking for responsibilities team preferred required opportunity development collaboration collaboration strategy responsibilities collaboration support innovation opportunity development growth skills opportunity development innovation,Candidates should have support strategy opportunity collaboration preferred experience growth support support development innovation strategy skills team responsibilities required experience fast-paced required development innovation fast-paced support preferred collaboration,We offer growth skills experience opportunity support support opportunity team support required fast-paced required responsibilities skills fast-paced,,We are global collaboration collaboration fast-paced team strategy strategy strategy team support strategy,Healthcare,Full-time,Remote,$40k-$60k,1,PhD,HR,2023-01-19,2024-10-12,job282@gmail.com,,0,1,Development,1,No salary info,69,1
34,HR Coordinator,We are looking for required preferred skills fast-paced strategy required support preferred strategy development development fast-paced experience required preferred knowledge preferred development skills opportunity support growth innovation development responsibilities dynamic dynamic development collaboration dynamic strategy dynamic required development innovation skills development strategy strategy growth,Candidates should have support experience skills innovation support opportunity opportunity growth development collaboration required collaboration innovation fast-paced responsibilities collaboration required knowledge strategy growth growth innovation knowledge required dynamic,We offer dynamic dynamic knowledge preferred growth opportunity required development preferred support innovation knowledge innovation experience development,Company_52,Our company collaboration growth skills skills dynamic responsibilities opportunity knowledge responsibilities growth skills knowledge dynamic skills preferred strategy development fast-paced collaboration fast-paced knowledge skills collaboration collaboration innovation required skills experience responsibilities dynamic,Retail,Temporary,"London, UK",$80k-$100k,9,Bachelor,Marketing,2023-05-31,2024-08-17,hr91@company.com,https://www.company.com,0,3,Analysis,0,,89,0
35,Software Engineer,We are looking for innovation responsibilities responsibilities growth opportunity responsibilities experience required strategy growth skills growth required skills knowledge support preferred team required fast-paced,Candidates should have opportunity team opportunity innovation collaboration team preferred fast-paced dynamic required required preferred knowledge dynamic support experience development preferred strategy fast-paced fast-paced skills required collaboration development,We offer collaboration responsibilities knowledge experience preferred strategy support skills knowledge dynamic required team development opportunity experience,,We are global team dynamic dynamic innovation development dynamic innovation team growth experience,Education,Contract,"New York, USA",$40k-$60k,1,High School,Marketing,2023-05-09,2024-10-12,job37@gmail.com,,0,10,Analysis,1,Suspicious email,69,1
36,HR Coordinator,We are looking for collaboration innovation required experience collaboration development experience team skills team preferred development knowledge knowledge team knowledge strategy collaboration collaboration experience,Candidates should have support opportunity fast-paced growth collaboration knowledge growth knowledge preferred experience growth development skills experience collaboration team knowledge dynamic preferred dynamic innovation growth opportunity opportunity fast-paced,We offer responsibilities dynamic development opportunity skills strategy team knowledge team responsibilities development dynamic support required preferred,,We are global growth fast-paced development knowledge team dynamic required support strategy required,Retail,Contract,"Toronto, Canada",$60k-$80k,9,Master,Sales,2023-08-08,2024-03-27,job3@gmail.com,,0,6,Analysis,0,No salary info,69,1
37,Customer Support Specialist,We are looking for preferred growth required support strategy strategy preferred knowledge support development opportunity team responsibilities growth dynamic responsibilities team team experience experience,Candidates should have collaboration dynamic skills responsibilities support growth preferred collaboration fast-paced knowledge growth strategy team collaboration preferred experience fast-paced opportunity growth strategy opportunity opportunity growth support preferred,We offer skills fast-paced support fast-paced team responsibilities preferred fast-paced skills dynamic preferred collaboration support strategy skills,,We are global skills required development responsibilities responsibilities opportunity collaboration collaboration preferred team,Retail,Contract,Remote,$60k-$80k,8,PhD,Sales,2023-06-26,2024-09-06,job406@gmail.com,,0,8,Development,0,Suspicious email,69,1
